id,name,type,address,water_quality,price,room_size,bed_type,ac,beds,mattress_thickness,study_space,power_outlets,wardrobe_units,ventilation,washroom_spec,staff_roster,amenities,mess_quality,gate_timings,image,latitude,longitude
1,Nikita Girls Stay,Girls,Delhi,RO Purified + UV Filtration (Tested),7000,180 sq ft,Simple Iron Single,Non-AC,Single Bed,4-Inch Coir,Basic Wooden Desk,2 Ports per Bed,2-Door Steel Almirah,Standard Window,Attached Indian Style,"[Warden: Reena Sharma-Age 42-Female]","WiFi,24/7 CCTV Monitored",Standard 3-Meal (Pure Veg),06:00 AM to 10:00 PM,https://images.unsplash.com/photo-1555854877-bab0e564b8d5,28.6892,77.2144
2,Sunshine Boys Hostel,Boys,Pune,Standard Filtered Water,6500,160 sq ft,Iron Bunk Bed,Non-AC,Double Sharing,3-Inch Cotton Gaddi,Standard Small Desk,2 Ports per Bed,Single Iron Locker,Single Window,Common Western Style,"[Warden: Rajesh Kumar-Age 45-Male]","WiFi,Power Backup Units",Standard 3-Meal (Veg),05:00 AM to 11:00 PM,https://images.unsplash.com/photo-1566140967404-b878994e2026,18.4529,73.8552
3,Elite Co-Ed Living,Co-ed,Bengaluru,RO Purified,9500,200 sq ft,Standard Single Ply,Non-AC,Single Bed,4-Inch Foam,Simple Wall-Facing Table,2 Ports per Bed,2-Door Wooden Wardrobe,Standard Window,Attached Western Style,"[Manager: Amit Verma-Age 35-Male]","WiFi,Laundry Access",Standard 3-Meal (Veg & Non-Veg),10:30 PM Gate Close,https://images.unsplash.com/photo-1519710164239-da123dc03ef4,12.9352,77.6244
4,Aditya Residency,Boys,Mumbai,Standard Filtered Water,5500,140 sq ft,Iron Bunk Bed,Non-AC,Triple Sharing,3-Inch Cotton Mattress,Shared Long Wooden Plank,1 Port per Bed,Individual Metal Locker,Small Exhaust Vent,Common Indian Style,"[Guard: Sunil Shinde-Age 50-Male]","24/7 CCTV Monitored",Basic 2-Meal (Veg),09:30 PM Curfew,https://images.unsplash.com/photo-1596276020587-8044fe249d5a,19.1018,72.8436
5,Saraswati Girls PG,Girls,Delhi,RO Purified,6800,150 sq ft,Iron Twin Bed,Non-AC,Double Sharing,4-Inch Foam,Two Plastic Chairs & Tables,2 Ports,Two Separate Almirahs,Standard Window,Attached Indian Style,"[Warden: Meena Gupta-Age 48-Female]","WiFi,24/7 CCTV Monitored",Home Style 3-Meal (Pure Veg),09:00 PM Strict Curfew,https://images.unsplash.com/photo-1513694203232-719a280e022f,28.6942,77.2185
6,Balaji Boys Lodge,Boys,Bengaluru,Municipal Supply Only,4500,130 sq ft,Iron Bunk Bed,Non-AC,Triple Sharing,3-Inch Cotton Bed,Common Study Hall Access,1 Port per Bed,Single Wall Locker,Mesh Window,Common Indian Bathroom,"[Owner: M. Balaji-Age 55-Male]","CCTV Monitored",No Mess - External Tiffin,10:00 PM Gate Close,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,13.0221,77.6403
7,Radhe Boys Mansion,Boys,Kota,Municipal Supply Only,5000,120 sq ft,Simple Wooden Bed,Non-AC,Single Bed,4-Inch Cotton Mattress,Dedicated Coaching Study Desk,2 Ports per Bed,Single Integrated Locker,Standard Air Vent,Common Indian Washroom,"[Caretaker: Ram Singh-Age 38-Male]","Power Backup Units",3-Meal Standard Student Diet,10:00 PM Coaching Curfew,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,25.1415,75.8482
8,Lakshmi Girls Nivas,Girls,Hyderabad,Standard Filtered Water,6000,150 sq ft,Steel Single Bed,Non-AC,Double Sharing,4-Inch Foam,Compact Shared Study Table,2 Ports per Bed,2-Door Steel Almirah,Standard Window,Common Western Style,"[Warden: K. Lakshmi-Age 53-Female]","WiFi,Laundry Access",3-Meal South Indian Menu,08:30 PM Curfew,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,17.4374,78.4482
9,Durga Girls PG,Girls,Delhi,Standard Filtered Water,7500,165 sq ft,Wooden Single Bed,Non-AC,Single Room,5-Inch Regular Foam,Standard Table with Drawer,2 Ports,Double Door Metal Wardrobe,Standard Window,Attached Indian Washroom,"[Warden: Santosh Devi-Age 50-Female]","WiFi,Power Backup Units",3-Meal Home Style Veg,08:30 PM Strict Entry,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf,28.6442,77.1873
10,Ganga Girls Sadan,Girls,Bengaluru,Standard Filtered Water,5200,145 sq ft,Metal Frame Twin,Non-AC,Double Sharing,4-Inch Foam,Compact Corner Study Table,2 Ports,Dual Metal Cabinets,Standard Window,Common Indian Style,"[Warden: Sarala Das-Age 57-Female]","24/7 CCTV Monitored",2-Meal Basic Scheme,09:00 PM Curfew Bell,https://images.unsplash.com/photo-1554995207-c18c203602cb,12.9719,77.6412
11,Chanakya Boys PG,Boys,Delhi,Standard Filtered Water,6800,160 sq ft,Hardwood Single Bed,Non-AC,Double Sharing,5-Inch Coir Mattress,Individual Desks facing wall,2 Ports,Twin Modular Wardrobes,Double Panel Window,Attached Western Style,"[Warden: Harish Tyagi-Age 47-Male]","WiFi,24/7 CCTV Monitored",3-Meal North Indian Menu,10:30 PM Gate Lock,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,28.6365,77.2766
12,Sai Baba Girls Nest,Girls,Pune,Standard Filtered Water,6200,150 sq ft,Iron Twin Bed,Non-AC,Double Sharing,4-Inch Regular Foam,Combined Long Study Table,2 Ports,Two Separate Almirahs,Standard Ventilation Vent,Attached Indian Bathroom,"[Warden: Sunita Patil-Age 49-Female]","WiFi,Laundry Access",3-Meal Marathi Style Veg,09:15 PM Gate Lock,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2,18.5679,73.9143
13,Maratha Boys Residency,Boys,Pune,Municipal Supply Only,4800,140 sq ft,Iron Quad Bunk,Non-AC,Multiple Sharing,3-Inch Cotton Gaddi,Common Shared Reading Hall,1 Port near Bed,Small Wall Mounted Safe,Standard Window Panel,Common Indian Stack,"[Guard: Tukaram-Age 55-Male]","Laundry Access",No Mess Facility Provided,10:30 PM Lock,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,18.5164,73.8412
14,Krishna Boys Nivas,Boys,Mumbai,Standard Filtered Water,5200,150 sq ft,Iron Frame Double,Non-AC,Double Sharing,4-Inch Cotton Bed,Compact Study Tables,2 Ports,Twin Iron Storage Units,Standard Window,Common Western Setup,"[Owner: K. Yadav-Age 50-Male]","24/7 CCTV Monitored",2-Meal Basic Diet Plan,10:30 PM Lock,https://images.unsplash.com/photo-1555854877-bab0e564b8d5,19.2437,73.1352
